2023-10-15 09:00:05,417 Model 1, rep:0, n:69303, nind:70, iters:0
2023-10-15 09:00:05,424 Model 1, rep:13, n:1558, nind:6, iters:0
2023-10-15 09:00:06,660 Model 1, rep:14, n:1558, nind:6, iters:0
2023-10-15 09:00:07,715 Model 1, rep:15, n:1558, nind:6, iters:0
2023-10-15 09:00:08,849 Model 1, rep:16, n:1558, nind:6, iters:0
2023-10-15 09:00:10,085 Model 1, rep:1, n:37547, nind:40, iters:0
2023-10-15 09:00:10,416 Model 1, rep:17, n:1558, nind:6, iters:0
2023-10-15 09:00:11,504 Model 1, rep:18, n:1558, nind:6, iters:0
2023-10-15 09:00:12,656 Model 1, rep:19, n:1558, nind:6, iters:0
2023-10-15 09:00:14,352 Model 1, rep:0, n:2617, nind:7, iters:0
2023-10-15 09:00:15,283 Model 1, rep:0, n:82005, nind:82, iters:0
2023-10-15 09:00:16,656 Model 1, rep:1, n:2617, nind:7, iters:0
2023-10-15 09:00:18,457 Model 1, rep:2, n:2617, nind:7, iters:0
2023-10-15 09:00:19,125 Model 1, rep:3, n:21670, nind:25, iters:0
2023-10-15 09:00:20,539 Model 1, rep:3, n:2617, nind:7, iters:0
2023-10-15 09:00:22,525 Model 1, rep:4, n:2617, nind:7, iters:0
2023-10-15 09:00:22,611 Model 1, rep:0, n:90473, nind:90, iters:0
2023-10-15 09:00:24,442 Model 1, rep:5, n:2617, nind:7, iters:0
2023-10-15 09:00:26,179 Model 1, rep:0, n:96824, nind:96, iters:0
2023-10-15 09:00:26,681 Model 1, rep:6, n:2617, nind:7, iters:0
2023-10-15 09:00:28,454 Model 1, rep:7, n:2617, nind:7, iters:0
2023-10-15 09:00:30,130 Model 1, rep:8, n:2617, nind:7, iters:0
2023-10-15 09:00:31,992 Model 1, rep:9, n:2617, nind:7, iters:0
2023-10-15 09:00:33,525 Model 1, rep:1, n:53425, nind:55, iters:0
2023-10-15 09:00:33,979 Model 1, rep:10, n:2617, nind:7, iters:0
2023-10-15 09:00:35,354 Model 1, rep:4, n:21670, nind:25, iters:0
2023-10-15 09:00:36,095 Model 1, rep:11, n:2617, nind:7, iters:0
2023-10-15 09:00:37,873 Model 1, rep:12, n:2617, nind:7, iters:0
2023-10-15 09:00:38,909 Model 1, rep:2, n:37547, nind:40, iters:0
2023-10-15 09:00:40,021 Model 1, rep:13, n:2617, nind:7, iters:0
2023-10-15 09:00:41,879 Model 1, rep:14, n:2617, nind:7, iters:0
2023-10-15 09:00:43,796 Model 1, rep:15, n:2617, nind:7, iters:0
2023-10-15 09:00:45,515 Model 1, rep:16, n:2617, nind:7, iters:0
2023-10-15 09:00:47,259 Model 1, rep:17, n:2617, nind:7, iters:0
2023-10-15 09:00:49,096 Model 1, rep:18, n:2617, nind:7, iters:0
2023-10-15 09:00:50,926 Model 1, rep:19, n:2617, nind:7, iters:0
